review_id,review_text,actual_stars,predicted_stars,explanation,json_valid,error
h_y-oqC4xEECVeB09nQ8ZQ,"An upscale mexican restaurant in the area seemed like the best thing to have happened to me. I planned my visit for a quieter evening, and reviewed the menu again and again. 

However, upon our arrival I thought twice immediately. The parking was iffy, and the place didn't seem to stand up to the signage. Perhaps the art was not to my liking, honestly not a piece stands out in my memory. 


We were seated immediately. 

Our waiter seemed a little off, not to mention the fact that he was insanely",1,2,"The review describes poor service, long wait times, and a disappointing experience, which aligns with a rating of 2 according to Yelp rules.",True,
s0dRHCNMgMjDdlvG6XZ66Q,"So i thought with all the controversy surrounding this place, I would support the first amendment with my wallet. Unfortunately our experience here was subpar to say the least. We came in on a 3pm on Saturday and there was only one other couple inside. We were literally outnumbered by the people working there. I say this because somehow, despite this fact, the service was HORRENDOUS. I mean we got our order out fine, but our waitress dissappeared after that. At one point I had to almost get refi",1,1,"The review describes extremely poor service, neglect, and dissatisfaction with the food quality, leading to a very negative experience that warrants a 1-star rating.",True,
tTGXjt1QZcBnfNmrYLCYKA,"The only reason 1 star can be given is the flavor choices and taste.  The SMALLEST wings I have ever seen, they must be off of baby chicks.  I thought it was getting punked, actually LOL.  Never to be back",1,1,"The review expresses strong dissatisfaction with the wings, criticizing their size and taste, and explicitly states they will not return, indicating a very negative experience.",True,
iOABod6-D0_5jcy0U1-7KQ,"I am leaving this store angry and can't resist writing a review! 

The staff is incredibly useless....if you can actually find someone to help you. The store is huge with very little signs to guide you. Therefore I always wander aimlessly looking for the one simple thing I stopped in for (even though I tell myself I will never go back) with no one to help me. 

Today they were out of an item I bought last week and need more of to finish my project. I asked the only 100 year old lady I could find",1,1,"The review expresses strong dissatisfaction with the staff and store experience, including being ignored, out of stock, and feeling frustrated, which indicates a very negative experience justifying a 1-star rating.",True,
Us61PFnfQTMrX-xR3dd2jw,"We came here for dinner for me and reverse happy hour for my wife, we ordered our appetizers and after finishing them and looking over the menu for a few minutes we were ready to jump into the overpriced entrees. We were then informed that we couldn't order dinner. Maybe when they see someone coming in and telling them they are...here for dinner...they might give them a heads up that the kitchen Is closing so we can order our meals and not be told five minutes after it did close..fourth time we'",1,1,"The review expresses disappointment with poor service, being unable to order dinner due to kitchen closing, and a negative overall experience, which indicates a low rating.",True,
qQcvmt1tvMR3F5OolsIRPg,"Had some time to kill before the Ultimate pleY Date Yelp event, and I'd wanted to share my love of Nobuo's Dark chocolate mousse with green tea ice cream and sugared orange peels with my happy-go-lucky cousin, who has never been here before, so we stopped by at 5:17p to find that Nobuo wouldn't open till 5:30p, so we waited outside in the comfortable patio.

After watching a couple of employees add lanterns to their outdoor umbrellaed tables, I noticed the ""OPEN"" sign on the front door, so we en",1,2,"The review describes poor service, cold and unappealing dessert, and a negative attitude from staff, which indicates a disappointing experience that warrants a rating of 2.",True,
-7qEdFzHUZqwn_g25tjReg,"I was really disappointed with my local Baja Fresh tonight.  The lobby, salsa bar and even drink station were very dirty and unkept.  To top that off my salad had old dark colored guacamole and limp lettuce.

I hope they read this and will do a better job at cleaning up!",1,2,"The review expresses disappointment due to dirty facilities and poor food quality, indicating a negative experience. Service or atmosphere issues are implied, and the overall tone suggests dissatisfaction, leading to a rating of 2.",True,
Nr-6xqBN9XqBJXnCToYYKA,I brought my sweet sister in law shopping at this Forever 21 location.  She had a bag full of goodies (several hundreds of dollars worth) from H&M.  She stopped at Forever 21 and  sat her bag on the ground right beside her while she tried on a pair of shoes.  Her H&M bag was stolen during that brief moment that the bag was not in her arms.....and while this certainly was not the responsibility of Forever 21....we were so disappointed in the way the Forever 21 staff reacted. They did not call sec,1,1,"The review describes a chaotic store environment, poor staff response to theft, and overall disappointment, indicating a negative experience that warrants a low rating.",True,
dB62OZ5qf6S4X-Zu9FcUqA,"My part Jewish friend has been raving about this deli so come payday we went to check it out. Ive been in Phoenix a little over a month and have been getting sick from the food here...diarrhea lots, shit my pants once... anyway, i like to eat in divey non-american cuisine. This place aint seedy enough for me, I suppose.

I did not get ill from the food here

However....

 $12.95 for a sandwich, fries, and a dollop of soggy coleslaw ???

I kept hearing from my friend, his mom and the waitress tha",1,2,"The review expresses dissatisfaction with the food quality, portion size, and high prices, and mentions a negative experience, which suggests a rating of 2. Despite some positive comments about the fries, the overall tone indicates a poor experience.",True,
MNFvGY1zUVGQlImzqvMFQw,"10:30pm on a Saturday night.  My friend and I try our second attempt at sushi for the night (see my review of Pearl for the first).  Place is hopping.  We take a seat at the sushi bar.

The Waitress:  ""Are you girls going to be ordering sushi?""
Me: I have a sushi menu in my hand, ""yes.""
Waitress:  ""Would you mind putting it in soon because they want to go home too.""
Me: What the fuck, bitch. ""Uh, ok""

Dear Ra Waitress,

I'm sorry if I kept you or any other employess, especially since I finished ",1,1,"The review describes rude service, a negative atmosphere, and issues with staff, indicating severe dissatisfaction and a poor experience.",True,
